id,name,type,rarity,weight_class,wiki_first_seen,inferred_era
4583,Gnarled Walking Staff,Weapon,Basic,,2010-10-08T23:35:07Z,Core Tyria & non-expansion releases
4573,Deldrimor Mace,Weapon,Basic,,2010-10-08T23:35:18Z,Core Tyria & non-expansion releases
4571,Living Short Bow,Weapon,Basic,,2010-10-08T23:35:57Z,Core Tyria & non-expansion releases
4574,Seathunder Pistol,Weapon,Basic,,2010-10-08T23:36:30Z,Core Tyria & non-expansion releases
4578,Diamond Aegis Shield,Weapon,Basic,,2010-10-08T23:38:37Z,Core Tyria & non-expansion releases
4582,Centurions Claw,Weapon,Basic,,2010-10-08T23:40:04Z,Core Tyria & non-expansion releases
4579,Wheelock Rifle,Weapon,Basic,,2010-10-08T23:47:45Z,Core Tyria & non-expansion releases
4572,Chimeric Prism Focus,Weapon,Basic,,2010-10-08T23:49:09Z,Core Tyria & non-expansion releases
4577,Ithas Longbow,Weapon,Basic,,2010-10-08T23:49:44Z,Core Tyria & non-expansion releases
4581,Icebreaker,Weapon,Basic,,2010-10-08T23:52:15Z,Core Tyria & non-expansion releases
4357,Royal Ascalonian Scepter,Weapon,Basic,,2011-01-11T16:30:18Z,Core Tyria & non-expansion releases
4400,Royal Ascalonian Staff,Weapon,Basic,,2011-01-11T17:04:59Z,Core Tyria & non-expansion releases
4373,Royal Ascalonian Dagger,Weapon,Basic,,2011-01-11T17:10:40Z,Core Tyria & non-expansion releases
360,Magus Gloves,Armor,Basic,Light,2011-01-12T18:27:42Z,Core Tyria & non-expansion releases
2041,Chainmail Footgear,Armor,Basic,Heavy,2011-01-12T19:03:34Z,Core Tyria & non-expansion releases
803,Heritage Shoes,Armor,Basic,Light,2011-01-12T19:43:59Z,Core Tyria & non-expansion releases
798,Heritage Pants,Armor,Basic,Light,2011-01-12T19:53:44Z,Core Tyria & non-expansion releases
796,Heritage Legguards,Armor,Basic,Medium,2011-01-12T19:55:36Z,Core Tyria & non-expansion releases
20,Chainmail Gauntlets,Armor,Basic,Heavy,2011-01-12T20:10:52Z,Core Tyria & non-expansion releases
799,Heritage Boots,Armor,Basic,Medium,2011-01-12T20:14:29Z,Core Tyria & non-expansion releases
818,Heritage Warhelm,Armor,Basic,Heavy,2011-01-12T20:23:43Z,Core Tyria & non-expansion releases
808,Heritage Pauldrons,Armor,Basic,Heavy,2011-01-12T20:23:45Z,Core Tyria & non-expansion releases
812,Heritage Gauntlets,Armor,Basic,Heavy,2011-01-12T20:24:03Z,Core Tyria & non-expansion releases
807,Heritage Warplate,Armor,Basic,Heavy,2011-01-12T20:24:23Z,Core Tyria & non-expansion releases
797,Heritage Legplates,Armor,Basic,Heavy,2011-01-12T20:24:33Z,Core Tyria & non-expansion releases
801,Heritage Warboots,Armor,Basic,Heavy,2011-01-12T20:24:36Z,Core Tyria & non-expansion releases
817,Heritage Bandana,Armor,Basic,Medium,2011-01-12T20:30:18Z,Core Tyria & non-expansion releases
805,Heritage Shoulderpads,Armor,Basic,Medium,2011-01-12T20:31:09Z,Core Tyria & non-expansion releases
811,Heritage Armguards,Armor,Basic,Medium,2011-01-12T20:32:06Z,Core Tyria & non-expansion releases
806,Heritage Jerkin,Armor,Basic,Medium,2011-01-12T20:32:54Z,Core Tyria & non-expansion releases
819,Heritage Masque,Armor,Basic,Light,2011-01-12T20:35:38Z,Core Tyria & non-expansion releases
810,Heritage Mantle,Armor,Basic,Light,2011-01-12T20:36:31Z,Core Tyria & non-expansion releases
813,Heritage Gloves,Armor,Basic,Light,2011-01-12T20:37:19Z,Core Tyria & non-expansion releases
809,Heritage Greatcoat,Armor,Basic,Light,2011-01-12T20:38:00Z,Core Tyria & non-expansion releases
4396,Royal Ascalonian Sword,Weapon,Basic,,2011-01-13T01:39:24Z,Core Tyria & non-expansion releases
4361,Royal Ascalonian Mace,Weapon,Basic,,2011-01-13T02:02:50Z,Core Tyria & non-expansion releases
4457,Royal Ascalonian Pistol,Weapon,Basic,,2011-01-13T02:03:17Z,Core Tyria & non-expansion releases
4372,Royal Ascalonian Greatsword,Weapon,Basic,,2011-01-13T02:05:29Z,Core Tyria & non-expansion releases
4385,Royal Ascalonian Hammer,Weapon,Basic,,2011-01-13T02:05:57Z,Core Tyria & non-expansion releases
4403,Royal Ascalonian Warhorn,Weapon,Basic,,2011-01-13T02:06:38Z,Core Tyria & non-expansion releases
4363,Royal Ascalonian Longbow,Weapon,Basic,,2011-01-13T02:23:25Z,Core Tyria & non-expansion releases
4498,Royal Ascalonian Rifle,Weapon,Basic,,2011-01-13T02:38:06Z,Core Tyria & non-expansion releases
4390,Royal Ascalonian Short Bow,Weapon,Basic,,2011-01-13T02:39:23Z,Core Tyria & non-expansion releases
4384,Royal Ascalonian Torch,Weapon,Basic,,2011-01-13T02:41:02Z,Core Tyria & non-expansion releases
4356,Royal Ascalonian Focus,Weapon,Basic,,2011-01-13T02:41:41Z,Core Tyria & non-expansion releases
4370,Royal Ascalonian Shield,Weapon,Basic,,2011-01-13T02:42:15Z,Core Tyria & non-expansion releases
19,Rawhide Boots,Armor,Basic,Medium,2011-01-13T04:17:28Z,Core Tyria & non-expansion releases
6,Rawhide Vest,Armor,Basic,Medium,2011-01-13T04:18:54Z,Core Tyria & non-expansion releases
32,Rawhide Bracers,Armor,Basic,Medium,2011-01-13T04:20:00Z,Core Tyria & non-expansion releases
5,Rawhide Leggings,Armor,Basic,Medium,2011-01-13T04:20:40Z,Core Tyria & non-expansion releases
16,Apprentice Shoes,Armor,Basic,Light,2011-01-13T04:21:58Z,Core Tyria & non-expansion releases
4,Apprentice Coat,Armor,Basic,Light,2011-01-13T04:22:23Z,Core Tyria & non-expansion releases
25,Apprentice Gloves,Armor,Basic,Light,2011-01-13T04:22:47Z,Core Tyria & non-expansion releases
3,Apprentice Pants,Armor,Basic,Light,2011-01-13T04:23:17Z,Core Tyria & non-expansion releases
3892,Soft Wood Scepter,Weapon,Basic,,2011-01-13T15:45:10Z,Core Tyria & non-expansion releases
4360,Royal Ascalonian Axe,Weapon,Basic,,2011-01-13T19:36:24Z,Core Tyria & non-expansion releases
4845,Courage,Weapon,Basic,,2011-03-05T03:23:04Z,Core Tyria & non-expansion releases
10249,Dragon's Claw,Weapon,Basic,,2011-03-16T11:03:39Z,Core Tyria & non-expansion releases
3857,Trident,Weapon,Basic,,2011-06-24T17:23:18Z,Core Tyria & non-expansion releases
240,Scale Gauntlets,Armor,Basic,Heavy,2011-12-14T00:18:10Z,Core Tyria & non-expansion releases
4833,Illusion,Weapon,Basic,,2011-12-14T14:46:12Z,Core Tyria & non-expansion releases
2051,Storm Eye,Armor,Basic,Light,2011-12-22T22:30:57Z,Core Tyria & non-expansion releases
4754,Siren's Call,Weapon,Basic,,2012-02-20T17:39:32Z,Core Tyria & non-expansion releases
6505,Venom,Weapon,Basic,,2012-02-21T17:55:52Z,Core Tyria & non-expansion releases
18,Country Pants,Armor,Basic,Light,2012-02-22T00:25:57Z,Core Tyria & non-expansion releases
6555,Merciless Hammer,Weapon,Basic,,2012-02-23T17:22:20Z,Core Tyria & non-expansion releases
2053,Panscopic Monocle,Armor,Basic,Medium,2012-02-24T00:19:56Z,Core Tyria & non-expansion releases
4004,Bronze Shield,Weapon,Basic,,2012-02-25T11:58:02Z,Core Tyria & non-expansion releases
3946,Bronze Axe,Weapon,Basic,,2012-02-25T12:22:48Z,Core Tyria & non-expansion releases
4048,Bronze Hammer,Weapon,Basic,,2012-02-25T12:32:04Z,Core Tyria & non-expansion releases
624,Ascalonian Performer Mask,Armor,Basic,Light,2012-03-15T22:35:22Z,Core Tyria & non-expansion releases
4005,Bronze Greatsword,Weapon,Basic,,2012-03-18T21:03:42Z,Core Tyria & non-expansion releases
3994,Bronze Dagger,Weapon,Basic,,2012-03-19T03:58:19Z,Core Tyria & non-expansion releases
4493,Royal Ascalonian Harpoon,Weapon,Basic,,2012-03-21T19:05:12Z,Core Tyria & non-expansion releases
4431,Royal Ascalonian Speargun,Weapon,Basic,,2012-03-21T19:14:52Z,Core Tyria & non-expansion releases
4421,Royal Ascalonian Trident,Weapon,Basic,,2012-03-21T19:18:33Z,Core Tyria & non-expansion releases
4828,Charrzooka,Weapon,Basic,,2012-03-26T17:10:52Z,Core Tyria & non-expansion releases
2052,Visionary's Helm,Armor,Basic,Heavy,2012-03-31T14:56:15Z,Core Tyria & non-expansion releases
619,Ascalonian Performer Mantle,Armor,Basic,Light,2012-04-03T08:28:54Z,Core Tyria & non-expansion releases
613,Ascalonian Performer Vestments,Armor,Basic,Light,2012-04-03T08:30:28Z,Core Tyria & non-expansion releases
627,Ascalonian Performer Gloves,Armor,Basic,Light,2012-04-03T09:20:01Z,Core Tyria & non-expansion releases
614,Ascalonian Performer Pants,Armor,Basic,Light,2012-04-03T09:21:30Z,Core Tyria & non-expansion releases
620,Ascalonian Performer Shoes,Armor,Basic,Light,2012-04-03T09:26:45Z,Core Tyria & non-expansion releases
623,Ascalonian Sentry Hat,Armor,Basic,Medium,2012-04-03T09:30:29Z,Core Tyria & non-expansion releases
617,Ascalonian Sentry Shoulderguards,Armor,Basic,Medium,2012-04-03T20:55:27Z,Core Tyria & non-expansion releases
611,Ascalonian Sentry Chestguard,Armor,Basic,Medium,2012-04-03T20:57:31Z,Core Tyria & non-expansion releases
626,Ascalonian Sentry Gloves,Armor,Basic,Medium,2012-04-03T20:59:56Z,Core Tyria & non-expansion releases
612,Ascalonian Sentry Leggings,Armor,Basic,Medium,2012-04-03T21:01:09Z,Core Tyria & non-expansion releases
618,Ascalonian Sentry Boots,Armor,Basic,Medium,2012-04-03T21:02:32Z,Core Tyria & non-expansion releases
625,Ascalonian Protector Helm,Armor,Basic,Heavy,2012-04-04T14:28:54Z,Core Tyria & non-expansion releases
621,Ascalonian Protector Pauldrons,Armor,Basic,Heavy,2012-04-06T12:03:19Z,Core Tyria & non-expansion releases
615,Ascalonian Protector Breastplate,Armor,Basic,Heavy,2012-04-06T12:44:45Z,Core Tyria & non-expansion releases
628,Ascalonian Protector Gauntlets,Armor,Basic,Heavy,2012-04-06T12:45:57Z,Core Tyria & non-expansion releases
616,Ascalonian Protector Legguards,Armor,Basic,Heavy,2012-04-06T12:47:50Z,Core Tyria & non-expansion releases
622,Ascalonian Protector Greaves,Armor,Basic,Heavy,2012-04-06T12:49:03Z,Core Tyria & non-expansion releases
2060,Fanged Dread Mask,Armor,Basic,Light,2012-04-29T05:53:29Z,Core Tyria & non-expansion releases
1007,Ringmaster's Hat,Armor,Basic,Medium,2012-04-29T06:00:10Z,Core Tyria & non-expansion releases
1009,Ringmaster's Hat,Armor,Basic,Heavy,2012-04-29T06:00:10Z,Core Tyria & non-expansion releases
1010,Ringmaster's Hat,Armor,Basic,Light,2012-04-29T06:00:10Z,Core Tyria & non-expansion releases
260,Seeker Mask,Armor,Basic,Medium,2012-04-29T23:49:13Z,Core Tyria & non-expansion releases
230,Seeker Shoulders,Armor,Basic,Medium,2012-05-01T00:43:26Z,Core Tyria & non-expansion releases
4607,Pirate Hatchet,Weapon,Basic,,2012-05-02T11:32:09Z,Core Tyria & non-expansion releases
219,Seeker Coat,Armor,Basic,Medium,2012-05-03T04:23:49Z,Core Tyria & non-expansion releases
250,Seeker Gloves,Armor,Basic,Medium,2012-05-03T05:45:20Z,Core Tyria & non-expansion releases
4621,Pirate Bloodletter,Weapon,Basic,,2012-05-03T20:29:23Z,Core Tyria & non-expansion releases
4633,Pirate Poppet,Weapon,Basic,,2012-05-03T20:30:07Z,Core Tyria & non-expansion releases
4603,Pirate Slayer,Weapon,Basic,,2012-05-03T20:30:58Z,Core Tyria & non-expansion releases
4620,Pirate Sledge,Weapon,Basic,,2012-05-03T20:32:11Z,Core Tyria & non-expansion releases
4596,Pirate Speargun,Weapon,Basic,,2012-05-03T20:48:11Z,Core Tyria & non-expansion releases
4659,Pirate Crescent,Weapon,Basic,,2012-05-03T20:49:24Z,Core Tyria & non-expansion releases
4600,Pirate Billy,Weapon,Basic,,2012-05-03T20:50:37Z,Core Tyria & non-expansion releases
4591,Pirate Flintlock,Weapon,Basic,,2012-05-03T20:52:20Z,Core Tyria & non-expansion releases
4616,Pirate Boomstick,Weapon,Basic,,2012-05-03T20:53:25Z,Core Tyria & non-expansion releases
4642,Pirate Cane,Weapon,Basic,,2012-05-03T20:55:21Z,Core Tyria & non-expansion releases
4658,Pirate Barricade,Weapon,Basic,,2012-05-03T20:56:40Z,Core Tyria & non-expansion releases
4649,Pirate Needler,Weapon,Basic,,2012-05-03T21:02:25Z,Core Tyria & non-expansion releases
4630,Pirate Harpoon,Weapon,Basic,,2012-05-03T21:04:55Z,Core Tyria & non-expansion releases
4623,Pirate Crook,Weapon,Basic,,2012-05-03T21:06:20Z,Core Tyria & non-expansion releases
4606,Pirate Cutlass,Weapon,Basic,,2012-05-03T21:07:22Z,Core Tyria & non-expansion releases
4585,Pirate Brazier,Weapon,Basic,,2012-05-03T21:08:21Z,Core Tyria & non-expansion releases
4641,Pirate Trident,Weapon,Basic,,2012-05-03T21:09:00Z,Core Tyria & non-expansion releases
4626,Pirate Bugle,Weapon,Basic,,2012-05-03T21:10:57Z,Core Tyria & non-expansion releases
237,Outlaw Boots,Armor,Basic,Medium,2012-05-05T19:29:56Z,Core Tyria & non-expansion releases
236,Seeker Boots,Armor,Basic,Medium,2012-05-08T07:39:23Z,Core Tyria & non-expansion releases
215,Seeker Pants,Armor,Basic,Medium,2012-05-09T19:59:53Z,Core Tyria & non-expansion releases
4298,Wolfborn Axe,Weapon,Basic,,2012-05-10T13:05:49Z,Core Tyria & non-expansion releases
4342,Wolfborn Dagger,Weapon,Basic,,2012-05-10T13:17:06Z,Core Tyria & non-expansion releases
688,Nightmare Court Regalia,Armor,Basic,Light,2012-05-11T02:46:24Z,Core Tyria & non-expansion releases
686,Nightmare Court Mantle,Armor,Basic,Light,2012-05-11T02:56:07Z,Core Tyria & non-expansion releases
684,Nightmare Court Robes,Armor,Basic,Light,2012-05-11T03:20:17Z,Core Tyria & non-expansion releases
689,Nightmare Court Gloves,Armor,Basic,Light,2012-05-11T03:26:41Z,Core Tyria & non-expansion releases
685,Nightmare Court Sarong,Armor,Basic,Light,2012-05-11T03:44:35Z,Core Tyria & non-expansion releases
687,Nightmare Court Footwraps,Armor,Basic,Light,2012-05-11T03:49:35Z,Core Tyria & non-expansion releases
701,Nightmare Court Faceguard,Armor,Basic,Medium,2012-05-11T04:48:54Z,Core Tyria & non-expansion releases
692,Nightmare Court Collar,Armor,Basic,Medium,2012-05-11T04:57:33Z,Core Tyria & non-expansion releases
690,Nightmare Court Guise,Armor,Basic,Medium,2012-05-11T05:09:21Z,Core Tyria & non-expansion releases
699,Nightmare Court Armguards,Armor,Basic,Medium,2012-05-11T05:15:46Z,Core Tyria & non-expansion releases
691,Nightmare Court Leggings,Armor,Basic,Medium,2012-05-11T05:23:49Z,Core Tyria & non-expansion releases
693,Nightmare Court Boots,Armor,Basic,Medium,2012-05-11T05:42:12Z,Core Tyria & non-expansion releases
698,Nightmare Court Helmet,Armor,Basic,Heavy,2012-05-11T05:48:37Z,Core Tyria & non-expansion releases
696,Nightmare Court Pauldrons,Armor,Basic,Heavy,2012-05-11T05:54:53Z,Core Tyria & non-expansion releases
694,Nightmare Court Breastplate,Armor,Basic,Heavy,2012-05-11T06:02:25Z,Core Tyria & non-expansion releases
700,Nightmare Court Gauntlets,Armor,Basic,Heavy,2012-05-11T06:07:36Z,Core Tyria & non-expansion releases
695,Nightmare Court Legguards,Armor,Basic,Heavy,2012-05-11T06:22:18Z,Core Tyria & non-expansion releases
697,Nightmare Court Greaves,Armor,Basic,Heavy,2012-05-11T06:32:43Z,Core Tyria & non-expansion releases
4464,Nightmare Axe,Weapon,Basic,,2012-05-11T07:46:33Z,Core Tyria & non-expansion releases
4294,Wolfborn Focus,Weapon,Basic,,2012-05-11T09:17:33Z,Core Tyria & non-expansion releases
4316,Wolfborn Greatsword,Weapon,Basic,,2012-05-11T09:18:47Z,Core Tyria & non-expansion releases
4334,Wolfborn Hammer,Weapon,Basic,,2012-05-11T09:20:00Z,Core Tyria & non-expansion releases
4315,Wolfborn Harpoon,Weapon,Basic,,2012-05-11T09:22:32Z,Core Tyria & non-expansion releases
4303,Wolfborn Longbow,Weapon,Basic,,2012-05-11T09:24:23Z,Core Tyria & non-expansion releases
4297,Wolfborn Mace,Weapon,Basic,,2012-05-11T09:25:34Z,Core Tyria & non-expansion releases
4293,Wolfborn Pistol,Weapon,Basic,,2012-05-11T09:29:35Z,Core Tyria & non-expansion releases
4305,Wolfborn Rifle,Weapon,Basic,,2012-05-11T09:30:30Z,Core Tyria & non-expansion releases
4302,Wolfborn Scepter,Weapon,Basic,,2012-05-11T09:34:09Z,Core Tyria & non-expansion releases
4304,Wolfborn Shield,Weapon,Basic,,2012-05-11T09:35:20Z,Core Tyria & non-expansion releases
4276,Wolfborn Short Bow,Weapon,Basic,,2012-05-11T09:37:11Z,Core Tyria & non-expansion releases
4283,Wolfborn Speargun,Weapon,Basic,,2012-05-11T09:39:52Z,Core Tyria & non-expansion releases
4344,Wolfborn Staff,Weapon,Basic,,2012-05-11T09:41:33Z,Core Tyria & non-expansion releases
4345,Wolfborn Sword,Weapon,Basic,,2012-05-11T09:59:18Z,Core Tyria & non-expansion releases
4272,Wolfborn Torch,Weapon,Basic,,2012-05-11T10:00:44Z,Core Tyria & non-expansion releases
4286,Wolfborn Trident,Weapon,Basic,,2012-05-11T10:01:45Z,Core Tyria & non-expansion releases
4275,Wolfborn Warhorn,Weapon,Basic,,2012-05-11T10:02:46Z,Core Tyria & non-expansion releases
4325,Adamant Guard Axe,Weapon,Basic,,2012-05-11T10:10:11Z,Core Tyria & non-expansion releases
4338,Adamant Guard Dagger,Weapon,Basic,,2012-05-11T10:11:56Z,Core Tyria & non-expansion releases
4322,Adamant Guard Gizmo,Weapon,Basic,,2012-05-11T10:14:14Z,Core Tyria & non-expansion releases
4308,Adamant Guard Greatsword,Weapon,Basic,,2012-05-11T10:15:08Z,Core Tyria & non-expansion releases
4323,Adamant Guard Hammer,Weapon,Basic,,2012-05-11T10:16:47Z,Core Tyria & non-expansion releases
4310,Adamant Guard Spear,Weapon,Basic,,2012-05-11T10:21:57Z,Core Tyria & non-expansion releases
4228,Adamant Guard Bow,Weapon,Basic,,2012-05-11T10:23:01Z,Core Tyria & non-expansion releases
4321,Adamant Guard Mace,Weapon,Basic,,2012-05-11T10:46:33Z,Core Tyria & non-expansion releases
4265,Adamant Guard Pistol,Weapon,Basic,,2012-05-11T10:47:18Z,Core Tyria & non-expansion releases
4301,Adamant Guard Rifle,Weapon,Basic,,2012-05-11T10:50:39Z,Core Tyria & non-expansion releases
4327,Adamant Guard Scepter,Weapon,Basic,,2012-05-11T11:06:13Z,Core Tyria & non-expansion releases
4319,Adamant Guard Shield,Weapon,Basic,,2012-05-11T11:08:01Z,Core Tyria & non-expansion releases
4306,Adamant Guard Short Bow,Weapon,Basic,,2012-05-11T11:11:44Z,Core Tyria & non-expansion releases
4281,Adamant Guard Cannon,Weapon,Basic,,2012-05-11T11:12:22Z,Core Tyria & non-expansion releases
4347,Adamant Guard Staff,Weapon,Basic,,2012-05-11T11:13:03Z,Core Tyria & non-expansion releases
4351,Adamant Guard Blade,Weapon,Basic,,2012-05-11T11:13:44Z,Core Tyria & non-expansion releases
4280,Adamant Guard Torch,Weapon,Basic,,2012-05-11T11:15:00Z,Core Tyria & non-expansion releases
4282,Adamant Guard Trident,Weapon,Basic,,2012-05-11T11:15:32Z,Core Tyria & non-expansion releases
4289,Adamant Guard Warhorn,Weapon,Basic,,2012-05-11T11:16:04Z,Core Tyria & non-expansion releases
661,Council Ministry Circlet,Armor,Basic,Light,2012-05-12T03:23:56Z,Core Tyria & non-expansion releases
657,Council Ministry Mantle,Armor,Basic,Light,2012-05-12T05:02:15Z,Core Tyria & non-expansion releases
654,Council Ministry Vestments,Armor,Basic,Light,2012-05-12T05:04:48Z,Core Tyria & non-expansion releases
663,Council Ministry Gloves,Armor,Basic,Light,2012-05-12T05:07:26Z,Core Tyria & non-expansion releases
655,Council Ministry Hose,Armor,Basic,Light,2012-05-12T05:09:43Z,Core Tyria & non-expansion releases
659,Council Ministry Shoes,Armor,Basic,Light,2012-05-12T05:15:13Z,Core Tyria & non-expansion releases
660,Council Watch Faceguard,Armor,Basic,Medium,2012-05-12T05:19:53Z,Core Tyria & non-expansion releases
656,Council Watch Shoulderguards,Armor,Basic,Medium,2012-05-12T05:25:36Z,Core Tyria & non-expansion releases
653,Council Watch Chestguard,Armor,Basic,Medium,2012-05-12T05:29:22Z,Core Tyria & non-expansion releases
662,Council Watch Gloves,Armor,Basic,Medium,2012-05-12T05:46:49Z,Core Tyria & non-expansion releases
652,Council Watch Leggings,Armor,Basic,Medium,2012-05-12T05:50:36Z,Core Tyria & non-expansion releases
658,Council Watch Boots,Armor,Basic,Medium,2012-05-12T05:53:24Z,Core Tyria & non-expansion releases
651,Council Guard Helm,Armor,Basic,Heavy,2012-05-12T06:00:46Z,Core Tyria & non-expansion releases
649,Council Guard Pauldrons,Armor,Basic,Heavy,2012-05-12T06:05:38Z,Core Tyria & non-expansion releases
647,Council Guard Breastplate,Armor,Basic,Heavy,2012-05-12T06:09:01Z,Core Tyria & non-expansion releases
664,Council Guard Gauntlets,Armor,Basic,Heavy,2012-05-12T06:11:52Z,Core Tyria & non-expansion releases
648,Council Guard Legguards,Armor,Basic,Heavy,2012-05-12T06:17:36Z,Core Tyria & non-expansion releases
650,Council Guard Greaves,Armor,Basic,Heavy,2012-05-12T06:23:10Z,Core Tyria & non-expansion releases
633,Grasping Dead Visage,Armor,Basic,Heavy,2012-05-13T04:25:34Z,Core Tyria & non-expansion releases
631,Grasping Dead Pauldrons,Armor,Basic,Heavy,2012-05-13T04:31:16Z,Core Tyria & non-expansion releases
630,Grasping Dead Breastplate,Armor,Basic,Heavy,2012-05-13T04:34:04Z,Core Tyria & non-expansion releases
646,Grasping Dead Gauntlets,Armor,Basic,Heavy,2012-05-13T04:38:07Z,Core Tyria & non-expansion releases
629,Grasping Dead Legguards,Armor,Basic,Heavy,2012-05-13T04:41:00Z,Core Tyria & non-expansion releases
632,Grasping Dead Greaves,Armor,Basic,Heavy,2012-05-13T04:43:52Z,Core Tyria & non-expansion releases
639,Gaze of the Lich,Armor,Basic,Light,2012-05-13T04:54:13Z,Core Tyria & non-expansion releases
634,Vestments of the Lich,Armor,Basic,Light,2012-05-13T05:03:35Z,Core Tyria & non-expansion releases
638,Wrappings of the Lich,Armor,Basic,Light,2012-05-13T05:07:12Z,Core Tyria & non-expansion releases
635,Trappings of the Lich,Armor,Basic,Light,2012-05-13T05:21:51Z,Core Tyria & non-expansion releases
637,Walkers of the Lich,Armor,Basic,Light,2012-05-13T05:24:33Z,Core Tyria & non-expansion releases
644,Accursed Visage,Armor,Basic,Medium,2012-05-13T05:35:29Z,Core Tyria & non-expansion releases
642,Accursed Shoulders,Armor,Basic,Medium,2012-05-13T05:39:51Z,Core Tyria & non-expansion releases
641,Accursed Guise,Armor,Basic,Medium,2012-05-13T05:43:28Z,Core Tyria & non-expansion releases
645,Accursed Vambraces,Armor,Basic,Medium,2012-05-13T05:45:30Z,Core Tyria & non-expansion releases
640,Accursed Leggings,Armor,Basic,Medium,2012-05-13T05:48:50Z,Core Tyria & non-expansion releases
643,Accursed Treads,Armor,Basic,Medium,2012-05-13T05:51:54Z,Core Tyria & non-expansion releases
4445,Axe of the Dragon's Deep,Weapon,Basic,,2012-05-13T07:12:24Z,Core Tyria & non-expansion releases
4509,Dagger of the Dragon's Deep,Weapon,Basic,,2012-05-13T07:19:16Z,Core Tyria & non-expansion releases
4414,Focus of the Dragon's Deep,Weapon,Basic,,2012-05-14T01:58:15Z,Core Tyria & non-expansion releases
4468,Greatsword of the Dragon's Deep,Weapon,Basic,,2012-05-14T02:06:07Z,Core Tyria & non-expansion releases
2044,Conqueror's Mantle,Armor,Basic,Heavy,2012-05-17T01:25:22Z,Core Tyria & non-expansion releases
2043,Fanatic's Mantle,Armor,Basic,Heavy,2012-05-17T01:51:17Z,Core Tyria & non-expansion releases
2048,Glacial Eye,Armor,Basic,Light,2012-05-17T04:39:42Z,Core Tyria & non-expansion releases
2049,Flame Eye,Armor,Basic,Light,2012-05-17T04:51:43Z,Core Tyria & non-expansion releases
2050,Stone Eye,Armor,Basic,Light,2012-05-17T04:57:23Z,Core Tyria & non-expansion releases
2340,Universal Multitool Pack,Back,Basic,,2012-05-17T05:37:18Z,Core Tyria & non-expansion releases
2054,Eagle-Eye Goggles,Armor,Basic,Medium,2012-05-17T06:33:28Z,Core Tyria & non-expansion releases
2045,Demon Masque,Armor,Basic,Light,2012-05-17T06:49:24Z,Core Tyria & non-expansion releases
2046,Skull Masque,Armor,Basic,Light,2012-05-17T06:53:36Z,Core Tyria & non-expansion releases
2047,Wraith Masque,Armor,Basic,Light,2012-05-17T06:55:37Z,Core Tyria & non-expansion releases
2058,Harlequin's Mask,Armor,Basic,Light,2012-05-17T07:32:20Z,Core Tyria & non-expansion releases
2059,Phantasm's Mask,Armor,Basic,Light,2012-05-17T07:32:24Z,Core Tyria & non-expansion releases
2057,Subterfuge Hood,Armor,Basic,Medium,2012-05-17T07:37:11Z,Core Tyria & non-expansion releases
